Tietuetunnus,Ajopäivämäärä,Postinumero,Postinumeron nimi suomeksi,Postinumeron nimi ruotsiksi,Postinumeron nimen lyhenne suomeksi,Postinumeron nimen lyhenne ruotsiksi,Voimaantulopäivämäärä,Tyyppikoodi,Hallinnollisen alueen koodi ,Hallinnollisen alueen nimi suomeksi,Hallinnollisen alueen ruotsiksi,Kunnan koodi,Kunnan nimi suomeksi,Kunnan nimi ruotsiksi,Kunnan kielisuhdekoodi
PONOT,20200721,63530,LÄNSIKYLÄ,LÄNSIKYLÄ,,,19860101,1,FI194,Etelä-Pohjanmaa,Södra Österbotten,005,Alajärvi,Alajärvi,1
PONOT,20200721,70911,VUORELA,VUORELA,,,19970101,2,FI1D2,Pohjois-Savo,Norra Savolax,749,Siilinjärvi,Siilinjärvi,1
PONOT,20200721,79330,NÄÄDÄNMAA,NÄÄDÄNMAA,,,19960201,1,FI1D2,Pohjois-Savo,Norra Savolax,420,Leppävirta,Leppävirta,1
PONOT,20200721,82870,LUUTALAHTI,LUUTALAHTI,,,19860101,1,FI1D3,Pohjois-Karjala,Norra Karelen,167,Joensuu,Joensuu,1
PONOT,20200721,83400,VIINIJÄRVI,VIINIJÄRVI,,,19881101,1,FI1D3,Pohjois-Karjala,Norra Karelen,426,Liperi,Liperi,1
PONOT,20200721,88201,OTANMÄKI,OTANMÄKI,,,19961121,2,FI1D4,Kainuu,Kajanaland,205,Kajaani,Kajana,1
PONOT,20200721,91300,YLIKIIMINKI,YLIKIIMINKI,,,19860101,1,FI1D6,Pohjois-Pohjanmaa,Norra Österbotten,564,Oulu,Uleåborg,1
PONOT,20200721,10210,INKOO,INGÅ,,,19881001,1,FI1B1,Helsinki-Uusimaa,Helsingfors-Nyland,149,Inkoo,Ingå,2
PONOT,20200721,37101,NOKIA,NOKIA,,,19951031,2,FI197,Pirkanmaa,Birkaland,536,Nokia,Nokia,1
PONOT,20200721,42701,KEURUU,KEURUU,,,19951220,2,FI193,Keski-Suomi,Mellersta Finland,249,Keuruu,Keuruu,1
